id	text	cat
1	Has checked the outlaw's way ; 	b
2	Ah ! my dear father, tell me why ? 	b
3	But what shall brave the deep, deep waves 	b
4	And gives the waves a brighter blue, 	b
5	Stooped, and raised his languid head ; 	b
6	Subdue this quenchless will ! ' 	b
7	He felt for all the beauty there. 	b
8	Turn back, from that tempestuous surge, 	b
9	Before it fades away ! 	b
10	When winter winds were wild . 	b
11	Warm and bright on Arden's lake 	b
12	All my life's bliss from thy dear life was given, 	b
13	Who motionless is laid . . . 	b
14	Of southern waters breaking to the wind, 	b
15	And laughter sink into a sigh, 	b
16	Their sunlit isles of paradise, 	b
17	The vain man smile, the fool deride, 	b
18	4 This is my home where whirlwinds blow, 	b
19	1 'd call forth the glorious chorus again 	b
20	With blood on his hand that he wept to have shed ? 	b
21	The space between is all forgot, 	b
22	* But, I '11 not fear, I will not weep 	b
23	Oh, stars, and dreams, and gentle night ; 	b
24	I have one rite a gentle kiss ; 	b
25	When those who were thy own compeers, 	b
26	All Nature's million mysteries, 	b
27	To reach, at last, the eternal home, 	b
28	Was flitting o'er me evermore. 	b
29	But something whispers to my mind, 	b
30	What though the stars and fair moonlight 	b
31	And who with unregretful eyes 	b
32	But sweet was the slight and spicy smell 	b
33	Opening its ports for me and mine ; 	b
34	Implored to change for senseless rest 	b
35	How still, how happy ! These are words 	b
36	And what is thine that it should prove 	b
37	And fresh winds shook the door ; 	b
38	That I shall greet them ne'er again ! ' 	b
39	Dare not indulge in memory's rapturous pain ; 	b
40	And conquered good and conquering ill 	b
41	Gladly to see his gory sun 	b
42	Nay, smile to hear Death's billows rave- 	b
43	Is human love so true ? 	b
44	The strength of eyesight to restore 	b
45	My monarch died to rule for ever 	b
46	Unawed, the darkness of the grave ? 	b
47	Which wilder visions muster'd to my mind ; 	b
48	Clothe in blood its sovereign's prayer. 	b
49	Hark ! listen to the distant gun 	b
50	Yet vainly flowed the calmer wave 	b
51	None need point the princely victim, 	b
52	* And now, 'mid northern mountains lone 	b
53	Are warring night and day ; 	b
54	From those brown hills, have melted into spring : 	b
55	On the shady side reclined 	b
56	On antique roof and hoary tree, 	b
57	That flush of roseate light, 	b
58	None but me beheld him dying, 	b
59	No ; 'twas not the flowery plain : 	b
60	Has Almadore in battle bled ! 	b
61	The yells, the groans, the frenzied gladness, 	b
62	Their careless young eyes are closed in sleeping ; 	b
63	T' escape from labour's tyrant power 	b
64	November's gusts unheeded call ; 	b
65	Doth he not rather roam ? 	b
